unit_number,card_type,eponym,name,normal_card_id,rank_max_card_id,normal_unit_navi_asset_id,rank_max_unit_navi_asset_id,rarity,card_color,smile_max,pure_max,cool_max,center_skill_description,skill_effect_type,skill_type_name,skill_lv_8_description,skill_lv_max_description
1111,1,None,桐原優香,4716,4717,2025,2026,1,2,850,1960,510,,,,,
1112,1,絵里の特製☆お節,絢瀬絵里,4718,4719,2027,2028,3,2,4120,4770,3270,ピュアPが6%UPする,11,SCOREアップ,リズムアイコン26個ごとに53%の確率でスコアが755増える,リズムアイコン26個ごとに53%の確率でスコアが1105増える
1113,1,μ's新年会,小泉花陽,4720,4721,2029,2030,3,3,4030,3330,4820,クールPが6%UPする,5,判定強化・大,リズムアイコン24個ごとに55%の確率で判定が7秒間強化される,リズムアイコン24個ごとに55%の確率で判定が10.4秒間強化される
1114,1,ブタのぬいぐるみ,高坂穂乃果,4722,4723,2031,2032,3,3,4240,3160,4970,クールPが6%UPする,5,判定強化・大,リズムアイコン20個ごとに51%の確率で判定が6.5秒間強化される,リズムアイコン20個ごとに51%の確率で判定が9.7秒間強化される
1115,1,想像上の鳥さん,南ことり,4724,4725,2033,2034,5,1,5090,4180,3580,スマイルPが7%UPする＋PrintempsのメンバーはさらにスマイルPが2%UPする,11,SCOREアップ,PERFECTを24回達成するごとに59%の確率でスコアが2055増える,PERFECTを24回達成するごとに59%の確率でスコアが4825増える
1116,1,None,レオ,4726,4727,2035,2036,1,1,2450,980,740,,,,,
1117,1,心を撃ち抜いて,桜内梨子,4728,4729,2037,2038,3,3,4250,3830,4910,クールPが6%UPする,11,SCOREアップ,コンボ26を達成するごとに54%の確率でスコアが850増える,コンボ26を達成するごとに54%の確率でスコアが1400増える
1118,1,ハートをお届け,松浦果南,4730,4731,2039,2040,3,2,3120,4910,4270,ピュアPが6%UPする,11,SCOREアップ,リズムアイコン21個ごとに42%の確率でスコアが755増える,リズムアイコン21個ごとに42%の確率でスコアが1250増える
1119,1,大人のチョコレート,黒澤ダイヤ,4732,4733,2041,2042,3,1,4960,3170,4240,スマイルPが6%UPする,5,判定強化・大,リズムアイコン23個ごとに53%の確率で判定が7.5秒間強化される,リズムアイコン23個ごとに53%の確率で判定が10.7秒間強化される
1120,1,あなたのメイド,高海千歌,4734,4735,2043,2044,5,2,4360,5180,3410,ピュアPが7%UPする＋CYaRon！のメンバーはさらにピュアPが2%UPする,9,体力回復,リズムアイコン20個ごとに52%の確率で体力が6回復する,リズムアイコン20個ごとに52%の確率で体力が15回復する
1121,1,罪のくちづけ,津島善子,4736,4737,2045,2046,4,1,5360,3920,4660,スマイルPが9%UPする＋1年生のメンバーはさらにスマイルPが6%UPする,9,体力回復,リズムアイコン22個ごとに63%の確率で体力が9回復する,リズムアイコン22個ごとに63%の確率で体力が25回復する
1122,1,None,藤城悠弓,4738,4739,2047,2048,1,3,930,1100,2950,,,,,
1123,1,雪球一球入魂,松浦果南,4740,4741,2049,2050,3,3,4040,3330,4810,クールPが6%UPする,5,判定強化・大,リズムアイコン26個ごとに53%の確率で判定が7.5秒間強化される,リズムアイコン26個ごとに53%の確率で判定が11.7秒間強化される
1124,1,夢の四段雪だるま,国木田花丸,4742,4743,2051,2052,3,2,3240,4680,4240,ピュアPが6%UPする,11,SCOREアップ,PERFECTを23回達成するごとに55%の確率でスコアが745増える,PERFECTを23回達成するごとに55%の確率でスコアが1140増える
1125,1,μ'sの雲,南ことり,4744,4745,2053,2054,3,2,4250,4930,3110,ピュアPが6%UPする,11,SCOREアップ,コンボ26を達成するごとに56%の確率でスコアが825増える,コンボ26を達成するごとに56%の確率でスコアが1350増える
1126,1,お散歩デート,小泉花陽,4746,4747,2055,2056,3,1,4890,4350,3050,スマイルPが6%UPする,11,SCOREアップ,PERFECTを19回達成するごとに43%の確率でスコアが785増える,PERFECTを19回達成するごとに43%の確率でスコアが1355増える
1127,1,春の和菓子,園田海未,4748,4749,2057,2058,4,3,4430,4160,5320,クールPが9%UPする＋2年生のメンバーはさらにクールPが6%UPする,5,判定強化・大,リズムアイコン20個ごとに61%の確率で判定が8.5秒間強化される,リズムアイコン20個ごとに61%の確率で判定が17.3秒間強化される
1128,1,None,支倉かさね,4750,4751,2059,2060,1,1,2710,690,1050,,,,,
1129,1,みんなマルのお姉さん,国木田花丸,4752,4753,2061,2062,3,3,4140,3260,4980,クールPが6%UPする,9,体力回復,リズムアイコン26個ごとに58%の確率で体力が5回復する,リズムアイコン26個ごとに58%の確率で体力が8回復する
1130,1,食べてくださいませ♪,黒澤ルビィ,4754,4755,2063,2064,3,3,3110,4270,4920,クールPが6%UPする,11,SCOREアップ,リズムアイコン23個ごとに50%の確率でスコアが775増える,リズムアイコン23個ごとに50%の確率でスコアが1135増える
1131,1,夢のバレンタイン,渡辺曜,4756,4757,2065,2066,5,1,5090,4250,3520,スマイルPが7%UPする＋2年生のメンバーはさらにスマイルPが2%UPする,11,SCOREアップ,コンボ26を達成するごとに75%の確率でスコアが1675増える,コンボ26を達成するごとに75%の確率でスコアが3920増える
1132,1,あなただけに,小原鞠莉,4758,4759,2067,2068,4,2,4450,5340,4120,ピュアPが9%UPする＋Guilty KissのメンバーはさらにピュアPが6%UPする,5,判定強化・大,リズムアイコン21個ごとに65%の確率で判定が8秒間強化される,リズムアイコン21個ごとに65%の確率で判定が17.4秒間強化される
1133,1,None,綾小路姫乃,4760,4761,2069,2070,1,1,2210,570,990,,,,,
1134,1,キュートな鬼さん,星空凛,4762,4763,2071,2072,3,3,3350,4040,4790,クールPが6%UPする,5,判定強化・大,リズムアイコン23個ごとに60%の確率で判定が6.5秒間強化される,リズムアイコン23個ごとに60%の確率で判定が9.1秒間強化される
1135,1,鬼役に決定にこ,矢澤にこ,4764,4765,2073,2074,3,1,4770,4130,3260,スマイルPが6%UPする,11,SCOREアップ,リズムアイコン29個ごとに56%の確率でスコアが760増える,リズムアイコン29個ごとに56%の確率でスコアが1175増える
1136,4,None,しいたけ,4770,4770,2079,2079,3,5,1,1,1,,,,,
1137,1,ぽかぽか陽気,東條希,4766,4767,2075,2076,3,3,3060,4330,4910,クールPが6%UPする,11,SCOREアップ,リズムアイコン20個ごとに48%の確率でスコアが750増える,リズムアイコン20個ごとに48%の確率でスコアが1015増える
1138,1,春のデート服,絢瀬絵里,4768,4769,2077,2078,5,2,3390,5130,4430,ピュアPが7%UPする＋3年生のメンバーはさらにピュアPが2%UPする,5,判定強化・大,リズムアイコン19個ごとに59%の確率で判定が7秒間強化される,リズムアイコン19個ごとに59%の確率で判定が14.2秒間強化される
1139,1,None,ジェニファー,4771,4772,2080,2081,1,1,2500,970,650,,,,,
1140,1,ブラッシングタイム！,高海千歌,4773,4774,2082,2083,3,2,4250,4910,3140,ピュアPが6%UPする,11,SCOREアップ,リズムアイコン22個ごとに46%の確率でスコアが825増える,リズムアイコン22個ごとに46%の確率でスコアが1175増える
1141,1,犯人は、お前だ！,渡辺曜,4775,4776,2084,2085,3,3,3070,4330,4980,クールPが6%UPする,9,体力回復,リズムアイコン30個ごとに53%の確率で体力が6回復する,リズムアイコン30個ごとに53%の確率で体力が10回復する
1142,1,愛の調剤,小原鞠莉,4777,4778,2086,2087,3,1,4980,3210,4180,スマイルPが6%UPする,5,判定強化・大,リズムアイコン27個ごとに63%の確率で判定が7秒間強化される,リズムアイコン27個ごとに63%の確率で判定が10.6秒間強化される
1143,1,一筆入魂！,国木田花丸,4779,4780,2088,2089,5,2,4080,5100,3650,ピュアPが7%UPする＋AqoursのメンバーはさらにピュアPが1%UPする,11,SCOREアップ,PERFECTを23回達成するごとに63%の確率でスコアが1900増える,PERFECTを23回達成するごとに63%の確率でスコアが4275増える
1144,1,わんわん巡回,松浦果南,4781,4782,2090,2091,4,3,4100,4460,5360,クールPが9%UPする＋AZALEAのメンバーはさらにクールPが6%UPする,11,SCOREアップ,コンボ22を達成するごとに59%の確率でスコアが3670増える,コンボ22を達成するごとに59%の確率でスコアが11425増える
1145,1,None,黒羽咲夜,4783,4784,2092,2093,1,2,540,2280,950,,,,,
1146,1,White Sugar,桜内梨子,4785,4786,2094,2095,3,2,3950,4800,3430,ピュアPが6%UPする,5,判定強化・大,リズムアイコン21個ごとに51%の確率で判定が7秒間強化される,リズムアイコン21個ごとに51%の確率で判定が9.7秒間強化される
1147,1,大好き詰め合わせ,黒澤ルビィ,4787,4788,2096,2097,3,3,4090,3330,4760,クールPが6%UPする,11,SCOREアップ,コンボ23を達成するごとに51%の確率でスコアが680増える,コンボ23を達成するごとに51%の確率でスコアが1245増える
1148,1,今年最後のいちご大福,高坂穂乃果,4789,4790,2098,2099,3,2,4310,4930,3070,ピュアPが6%UPする,11,SCOREアップ,リズムアイコン24個ごとに51%の確率でスコアが780増える,リズムアイコン24個ごとに51%の確率でスコアが1160増える
1149,1,どんな花でも,矢澤にこ,4791,4792,2100,2101,4,1,5350,3970,4630,スマイルPが9%UPする＋3年生のメンバーはさらにスマイルPが6%UPする,9,体力回復,リズムアイコン27個ごとに80%の確率で体力が8回復する,リズムアイコン27個ごとに80%の確率で体力が25回復する
1150,1,None,早乙女紫,4793,4794,2102,2103,1,2,500,2400,870,,,,,
1151,1,お注射の時間,桜内梨子,4795,4796,2104,2105,3,1,4970,3210,4200,スマイルPが6%UPする,9,体力回復,リズムアイコン21個ごとに60%の確率で体力が4回復する,リズムアイコン21個ごとに60%の確率で体力が6回復する
1152,1,暗黒魔術,津島善子,4797,4798,2106,2107,3,2,3070,4930,4290,ピュアPが6%UPする,11,SCOREアップ,コンボ20を達成するごとに48%の確率でスコアが820増える,コンボ20を達成するごとに48%の確率でスコアが1195増える
1153,1,泡立つクリーム,黒澤ルビィ,4799,4800,2108,2109,5,3,3590,4270,5090,クールPが7%UPする＋1年生のメンバーはさらにクールPが2%UPする,11,SCOREアップ,リズムアイコン20個ごとに57%の確率でスコアが1620増える,リズムアイコン20個ごとに57%の確率でスコアが3560増える
1154,1,巫女舞ステップ,黒澤ダイヤ,4801,4802,2110,2111,4,1,5320,4270,4320,スマイルPが9%UPする＋3年生のメンバーはさらにスマイルPが6%UPする,5,判定強化・大,リズムアイコン22個ごとに61%の確率で判定が9秒間強化される,リズムアイコン22個ごとに61%の確率で判定が19.4秒間強化される
1155,1,None,白瀬小雪,4803,4804,2112,2113,1,1,2300,520,740,,,,,
1156,1,お雛様☆真姫,西木野真姫,4805,4806,2114,2115,3,2,3900,4810,3470,ピュアPが6%UPする,5,判定強化・大,リズムアイコン20個ごとに54%の確率で判定が6秒間強化される,リズムアイコン20個ごとに54%の確率で判定が8.8秒間強化される
1157,1,μ'sみんなの顔を,小泉花陽,4807,4808,2116,2117,3,1,4680,3510,3970,スマイルPが6%UPする,11,SCOREアップ,PERFECTを12回達成するごとに36%の確率でスコアが565増える,PERFECTを12回達成するごとに36%の確率でスコアが910増える
1158,1,菜の花畑で,西木野真姫,4809,4810,2118,2119,3,1,4980,3430,3970,スマイルPが6%UPする,9,体力回復,リズムアイコン22個ごとに52%の確率で体力が5回復する,リズムアイコン22個ごとに52%の確率で体力が7回復する
1159,1,緊張するにゃ〜,星空凛,4811,4812,2120,2121,5,3,4220,3540,5090,クールPが7%UPする＋1年生のメンバーはさらにクールPが2%UPする,11,SCOREアップ,PERFECTを26回達成するごとに77%の確率でスコアが1800増える,PERFECTを26回達成するごとに77%の確率でスコアが3910増える
1160,1,None,西村文絵,4813,4814,2122,2123,1,1,1710,750,530,,,,,
1161,1,コアラの眠り,高海千歌,4815,4816,2124,2125,3,1,4970,3250,4150,スマイルPが6%UPする,5,判定強化・大,リズムアイコン25個ごとに49%の確率で判定が8.5秒間強化される,リズムアイコン25個ごとに49%の確率で判定が12.6秒間強化される
1162,1,熱いパッション,小原鞠莉,4817,4818,2126,2127,3,3,4220,3170,4890,クールPが6%UPする,11,SCOREアップ,PERFECTを25回達成するごとに58%の確率でスコアが800増える,PERFECTを25回達成するごとに58%の確率でスコアが1315増える
1163,1,ルビィの勇気,黒澤ルビィ,4819,4820,2128,2129,3,2,3140,4980,4260,ピュアPが6%UPする,9,体力回復,リズムアイコン23個ごとに45%の確率で体力が6回復する,リズムアイコン23個ごとに45%の確率で体力が9回復する
1164,1,ふわふわパンダ,松浦果南,4821,4822,2130,2131,5,3,3380,4390,5180,クールPが7%UPする＋3年生のメンバーはさらにクールPが2%UPする,9,体力回復,リズムアイコン26個ごとに58%の確率で体力が7回復する,リズムアイコン26個ごとに58%の確率で体力が17回復する
1165,1,たゆたうクラゲ,津島善子,4823,4824,2132,2133,4,2,4040,5310,4540,ピュアPが9%UPする＋1年生のメンバーはさらにピュアPが6%UPする,11,SCOREアップ,PERFECTを26回達成するごとに64%の確率でスコアが4035増える,PERFECTを26回達成するごとに64%の確率でスコアが12830増える
1166,4,None,わたあめ,4825,4825,2134,2134,1,1,1,1,1,,,,,
1167,1,None,支倉かさね,4827,4828,2136,2137,1,2,690,2750,1050,,,,,
1168,1,ポーカー･フェイス,黒澤ダイヤ,4829,4830,2138,2139,3,1,4810,3980,3390,スマイルPが6%UPする,5,判定強化・大,リズムアイコン19個ごとに38%の確率で判定が7.5秒間強化される,リズムアイコン19個ごとに38%の確率で判定が12秒間強化される
1169,1,ストレートフラッシュ,小原鞠莉,4831,4832,2140,2141,3,2,3340,4770,4050,ピュアPが6%UPする,11,SCOREアップ,リズムアイコン24個ごとに42%の確率でスコアが775増える,リズムアイコン24個ごとに42%の確率でスコアが1310増える
1170,1,一緒に練習！,園田海未,4833,4834,2142,2143,3,1,4980,3190,4210,スマイルPが6%UPする,9,体力回復,リズムアイコン19個ごとに54%の確率で体力が4回復する,リズムアイコン19個ごとに54%の確率で体力が6回復する
1171,1,テニス経験者,西木野真姫,4835,4836,2144,2145,3,3,3220,4170,4980,クールPが6%UPする,5,判定強化・大,リズムアイコン22個ごとに61%の確率で判定が6.5秒間強化される,リズムアイコン22個ごとに61%の確率で判定が8.8秒間強化される
1172,1,疲れたあとには,小泉花陽,4837,4838,2146,2147,4,2,4030,5330,4540,ピュアPが9%UPする＋1年生のメンバーはさらにピュアPが6%UPする,11,SCOREアップ,コンボ20を達成するごとに55%の確率でスコアが3560増える,コンボ20を達成するごとに55%の確率でスコアが11160増える
1173,1,None,田中さち子,4839,4840,2148,2149,1,2,790,2420,570,,,,,
1174,1,ショーの相棒,桜内梨子,4841,4842,2150,2151,3,2,3070,4880,4330,ピュアPが6%UPする,11,SCOREアップ,PERFECTを20回達成するごとに50%の確率でスコアが880増える,PERFECTを20回達成するごとに50%の確率でスコアが1190増える
1175,1,気付ける力,渡辺曜,4843,4844,2152,2153,3,1,4970,4300,3100,スマイルPが6%UPする,5,判定強化・大,リズムアイコン21個ごとに47%の確率で判定が8秒間強化される,リズムアイコン21個ごとに47%の確率で判定が10.9秒間強化される
1176,1,スネークを選んだ理由,黒澤ダイヤ,4845,4846,2154,2155,5,1,5180,3430,4340,スマイルPが7%UPする＋3年生のメンバーはさらにスマイルPが2%UPする,9,体力回復,リズムアイコン27個ごとに70%の確率で体力が6回復する,リズムアイコン27個ごとに70%の確率で体力が15回復する
1177,1,ヒツジさん集め,国木田花丸,4847,4848,2156,2157,4,3,4500,4100,5350,クールPが9%UPする＋1年生のメンバーはさらにクールPが6%UPする,9,体力回復,リズムアイコン25個ごとに78%の確率で体力が7回復する,リズムアイコン25個ごとに78%の確率で体力が24回復する
1178,1,None,福原命,4849,4850,2158,2159,1,2,670,2370,1220,,,,,
1179,1,エッグハント,高坂穂乃果,4851,4852,2160,2161,3,3,3580,3810,4770,クールPが6%UPする,11,SCOREアップ,リズムアイコン22個ごとに46%の確率でスコアが655増える,リズムアイコン22個ごとに46%の確率でスコアが1095増える
1180,1,イースターエッグ,星空凛,4853,4854,2162,2163,3,1,4810,3950,3420,スマイルPが6%UPする,5,判定強化・大,リズムアイコン27個ごとに60%の確率で判定が7秒間強化される,リズムアイコン27個ごとに60%の確率で判定が10.8秒間強化される
1181,1,貴族の遊び,矢澤にこ,4855,4856,2164,2165,3,2,4230,4970,3180,ピュアPが6%UPする,9,体力回復,リズムアイコン20個ごとに43%の確率で体力が5回復する,リズムアイコン20個ごとに43%の確率で体力が8回復する
1182,1,テニスの練習,東條希,4857,4858,2166,2167,5,1,5100,4290,3470,スマイルPが7%UPする＋lily whiteのメンバーはさらにスマイルPが2%UPする,11,SCOREアップ,コンボ18を達成するごとに56%の確率でスコアが1560増える,コンボ18を達成するごとに56%の確率でスコアが3625増える
1183,1,None,斉木風,4859,4860,2168,2169,1,3,660,980,2620,,,,,
1184,1,伝える言葉,黒澤ダイヤ,4861,4862,2170,2171,3,3,4230,3160,4980,クールPが6%UPする,5,判定強化・大,リズムアイコン23個ごとに57%の確率で判定が7秒間強化される,リズムアイコン23個ごとに57%の確率で判定が9.9秒間強化される
1185,1,ラッキー☆ガール,渡辺曜,4863,4864,2172,2173,3,3,3070,4310,4900,クールPが6%UPする,11,SCOREアップ,PERFECTを26回達成するごとに58%の確率でスコアが820増える,PERFECTを26回達成するごとに58%の確率でスコアが1370増える
1186,1,好きなものは好き！,黒澤ルビィ,4865,4866,2174,2175,3,1,4960,4270,3140,スマイルPが6%UPする,5,判定強化・大,リズムアイコン28個ごとに60%の確率で判定が7.5秒間強化される,リズムアイコン28個ごとに60%の確率で判定が11.6秒間強化される
1187,1,幸せの入り口,松浦果南,4867,4868,2176,2177,5,2,4290,5100,3560,ピュアPが7%UPする＋3年生のメンバーはさらにピュアPが2%UPする,11,SCOREアップ,リズムアイコン26個ごとに61%の確率でスコアが1860増える,リズムアイコン26個ごとに61%の確率でスコアが4435増える
1188,1,happy life,桜内梨子,4869,4870,2178,2179,4,2,4100,5340,4470,ピュアPが9%UPする＋2年生のメンバーはさらにピュアPが6%UPする,5,判定強化・大,リズムアイコン27個ごとに81%の確率で判定が8秒間強化される,リズムアイコン27個ごとに81%の確率で判定が18.2秒間強化される
1189,1,None,藤城悠弓,4871,4872,2180,2181,1,2,1120,2970,890,,,,,
1190,1,母の日ダイビング,松浦果南,4873,4874,2182,2183,3,1,4760,3520,3880,スマイルPが6%UPする,11,SCOREアップ,コンボ26を達成するごとに57%の確率でスコアが775増える,コンボ26を達成するごとに57%の確率でスコアが1240増える
1191,1,温かい心,国木田花丸,4875,4876,2184,2185,3,3,3420,3950,4810,クールPが6%UPする,5,判定強化・大,リズムアイコン25個ごとに56%の確率で判定が6.5秒間強化される,リズムアイコン25個ごとに56%の確率で判定が10.8秒間強化される
1192,1,２つのイベント,星空凛,4877,4878,2186,2187,3,3,4360,3050,4970,クールPが6%UPする,9,体力回復,リズムアイコン26個ごとに49%の確率で体力が6回復する,リズムアイコン26個ごとに49%の確率で体力が9回復する
1193,1,ラリーのコツ,南ことり,4879,4880,2188,2189,4,1,5330,4530,4050,スマイルPが9%UPする＋2年生のメンバーはさらにスマイルPが6%UPする,5,判定強化・大,リズムアイコン19個ごとに70%の確率で判定が7秒間強化される,リズムアイコン19個ごとに70%の確率で判定が14.4秒間強化される
1194,1,None,クリスティーナ,4881,4882,2190,2191,1,1,1810,530,700,,,,,
1195,1,天使で悪魔,津島善子,4883,4884,2192,2193,3,1,4970,3130,4270,スマイルPが6%UPする,5,判定強化・大,リズムアイコン26個ごとに50%の確率で判定が8.5秒間強化される,リズムアイコン26個ごとに50%の確率で判定が12.9秒間強化される
1196,1,うららかな日々,国木田花丸,4885,4886,2194,2195,3,2,4310,4910,3080,ピュアPが6%UPする,11,SCOREアップ,リズムアイコン25個ごとに56%の確率でスコアが735増える,リズムアイコン25個ごとに56%の確率でスコアが1105増える
1197,1,おっきな幸せ,高海千歌,4887,4888,2196,2197,5,1,5180,3290,4480,スマイルPが7%UPする＋2年生のメンバーはさらにスマイルPが2%UPする,9,体力回復,リズムアイコン24個ごとに65%の確率で体力が6回復する,リズムアイコン24個ごとに65%の確率で体力が14回復する
1198,1,ラッキーアイテム,小原鞠莉,4889,4890,2198,2199,4,3,4460,4130,5320,クールPが9%UPする＋Guilty KissのメンバーはさらにクールPが6%UPする,11,SCOREアップ,リズムアイコン25個ごとに71%の確率でスコアが3475増える,リズムアイコン25個ごとに71%の確率でスコアが10580増える
1199,1,None,白木凪,4891,4892,2200,2201,1,3,990,740,3260,,,,,
1200,1,サバイバルゲーム,絢瀬絵里,4893,4894,2202,2203,3,1,4810,4020,3350,スマイルPが6%UPする,5,判定強化・大,リズムアイコン23個ごとに60%の確率で判定が6秒間強化される,リズムアイコン23個ごとに60%の確率で判定が9.2秒間強化される
1201,1,対戦相手は……,園田海未,4895,4896,2204,2205,3,2,4020,4690,3450,ピュアPが6%UPする,11,SCOREアップ,PERFECTを19回達成するごとに44%の確率でスコアが685増える,PERFECTを19回達成するごとに44%の確率でスコアが1190増える
1202,1,テニスで勝負,絢瀬絵里,4897,4898,2206,2207,3,3,3190,4200,4890,クールPが6%UPする,11,SCOREアップ,PERFECTを22回達成するごとに51%の確率でスコアが840増える,PERFECTを22回達成するごとに51%の確率でスコアが1310増える
1203,1,μ'sテニス大会,高坂穂乃果,4899,4900,2208,2209,5,2,4360,5170,3420,ピュアPが7%UPする＋PrintempsのメンバーはさらにピュアPが2%UPする,9,体力回復,リズムアイコン25個ごとに57%の確率で体力が7回復する,リズムアイコン25個ごとに57%の確率で体力が17回復する
1204,1,None,レベッカ,4901,4902,2210,2211,1,2,770,2390,500,,,,,
1205,1,心を交わす,桜内梨子,4903,4904,2212,2213,3,3,3210,4170,4920,クールPが6%UPする,11,SCOREアップ,リズムアイコン27個ごとに56%の確率でスコアが765増える,リズムアイコン27個ごとに56%の確率でスコアが1200増える
1206,1,歴史のねじれ,黒澤ダイヤ,4905,4906,2214,2215,3,2,3110,4920,4260,ピュアPが6%UPする,11,SCOREアップ,コンボ24を達成するごとに57%の確率でスコアが775増える,コンボ24を達成するごとに57%の確率でスコアが1220増える
1207,1,毎日が大冒険♪,国木田花丸,4907,4908,2216,2217,3,3,4180,3220,4970,クールPが6%UPする,5,判定強化・大,リズムアイコン24個ごとに54%の確率で判定が7.5秒間強化される,リズムアイコン24個ごとに54%の確率で判定が11秒間強化される
1208,1,お江戸カルチャー,小原鞠莉,4909,4910,2218,2219,5,1,5130,4410,3410,スマイルPが7%UPする＋Guilty KissのメンバーはさらにスマイルPが2%UPする,5,判定強化・大,リズムアイコン22個ごとに56%の確率で判定が8秒間強化される,リズムアイコン22個ごとに56%の確率で判定が17.9秒間強化される
1209,1,どこだっていいよ♪,高海千歌,4911,4912,2220,2221,4,2,4510,5370,4070,ピュアPが9%UPする＋2年生のメンバーはさらにピュアPが6%UPする,9,体力回復,リズムアイコン23個ごとに57%の確率で体力が9回復する,リズムアイコン23個ごとに57%の確率で体力が31回復する
1210,1,None,高天原睦月,4913,4914,2222,2223,1,3,900,420,2240,,,,,
1211,1,地獄の海へヨーソロー,渡辺曜,4915,4916,2224,2225,3,1,4810,3430,3940,スマイルPが6%UPする,5,判定強化・大,リズムアイコン21個ごとに49%の確率で判定が6.5秒間強化される,リズムアイコン21個ごとに49%の確率で判定が10.3秒間強化される
1212,1,リトルデーモンご案内,津島善子,4917,4918,2226,2227,3,2,3880,4770,3510,ピュアPが6%UPする,11,SCOREアップ,リズムアイコン21個ごとに42%の確率でスコアが690増える,リズムアイコン21個ごとに42%の確率でスコアが1140増える
1213,1,大好きなフレーバー,絢瀬絵里,4919,4920,2228,2229,3,2,3040,4920,4340,ピュアPが6%UPする,11,SCOREアップ,リズムアイコン19個ごとに42%の確率でスコアが680増える,リズムアイコン19個ごとに42%の確率でスコアが1130増える
1214,1,後味スッキリ☆,星空凛,4921,4922,2230,2231,3,1,4960,4150,3260,スマイルPが6%UPする,5,判定強化・大,リズムアイコン27個ごとに55%の確率で判定が8秒間強化される,リズムアイコン27個ごとに55%の確率で判定が12.2秒間強化される
1215,1,穂乃果のオススメ！,高坂穂乃果,4923,4924,2232,2233,4,2,4660,5370,3920,スマイルPの12%分ピュアPがUPする＋PrintempsのメンバーはさらにピュアPが6%UPする,9,体力回復,リズムアイコン21個ごとに59%の確率で体力が8回復する,リズムアイコン21個ごとに59%の確率で体力が27回復する
1216,1,None,桜坂しずく,4925,4926,2234,2235,1,3,510,690,1590,,,,,
1217,1,自然に惹かれて,松浦果南,4927,4928,2236,2237,3,1,4970,4220,3180,スマイルPが6%UPする,5,判定強化・大,リズムアイコン21個ごとに59%の確率で判定が6.5秒間強化される,リズムアイコン21個ごとに59%の確率で判定が8.7秒間強化される
1218,1,ヨハネの新生活,津島善子,4929,4930,2238,2239,3,3,3220,4180,4980,クールPが6%UPする,9,体力回復,リズムアイコン22個ごとに66%の確率で体力が4回復する,リズムアイコン22個ごとに66%の確率で体力が6回復する
1219,1,未来へ託して,黒澤ルビィ,4931,4932,2240,2241,5,2,3490,5100,4270,ピュアPが7%UPする＋CYaRon！のメンバーはさらにピュアPが2%UPする,11,SCOREアップ,コンボ22を達成するごとに65%の確率でスコアが1695増える,コンボ22を達成するごとに65%の確率でスコアが3765増える
1220,1,新しい発見,渡辺曜,4933,4934,2242,2243,4,1,5320,4650,3920,スマイルPが9%UPする＋2年生のメンバーはさらにスマイルPが6%UPする,11,SCOREアップ,PERFECTを24回達成するごとに67%の確率でスコアが3570増える,PERFECTを24回達成するごとに67%の確率でスコアが11300増える
1221,1,None,マリア,4935,4936,2244,2245,1,1,2400,820,440,,,,,
1222,1,甘い物が１番♪,東條希,4937,4938,2246,2247,3,2,3870,4670,3620,ピュアPが6%UPする,11,SCOREアップ,PERFECTを21回達成するごとに51%の確率でスコアが650増える,PERFECTを21回達成するごとに51%の確率でスコアが1135増える
1223,1,にこのこだわり,矢澤にこ,4939,4940,2248,2249,3,3,3390,3970,4820,クールPが6%UPする,5,判定強化・大,リズムアイコン22個ごとに52%の確率で判定が7秒間強化される,リズムアイコン22個ごとに52%の確率で判定が10秒間強化される
1224,3,店長スラッシュ,津島善子,4945,4945,2254,2254,4,3,3800,4160,4890,クールPが3%UPする,11,SCOREアップ,コンボ17を達成するごとに50%の確率でスコアが400増える,コンボ17を達成するごとに50%の確率でスコアが440増える
1225,1,差し入れアイス,園田海未,4941,4942,2250,2251,3,3,4150,3250,4970,クールPが6%UPする,5,判定強化・大,リズムアイコン25個ごとに61%の確率で判定が7秒間強化される,リズムアイコン25個ごとに61%の確率で判定が10.1秒間強化される
1226,1,究極のアイス☆,矢澤にこ,4943,4944,2252,2253,5,2,4330,5110,3510,ピュアPが7%UPする＋3年生のメンバーはさらにピュアPが2%UPする,11,SCOREアップ,リズムアイコン25個ごとに63%の確率でスコアが1775増える,リズムアイコン25個ごとに63%の確率でスコアが4085増える
1227,1,None,逢沢遊宇,4946,4947,2255,2256,1,2,630,1680,530,,,,,
1228,1,本番目指して！？,渡辺曜,4948,4949,2257,2258,3,2,3250,4980,4150,ピュアPが6%UPする,9,体力回復,リズムアイコン25個ごとに48%の確率で体力が6回復する,リズムアイコン25個ごとに48%の確率で体力が9回復する
1229,1,ボールを四角く,国木田花丸,4950,4951,2259,2260,3,1,4880,4220,3180,スマイルPが6%UPする,11,SCOREアップ,PERFECTを29回達成するごとに60%の確率でスコアが850増える,PERFECTを29回達成するごとに60%の確率でスコアが1485増える
1230,1,Aqoursの世界,小原鞠莉,4952,4953,2261,2262,3,2,4210,4930,3150,ピュアPが6%UPする,11,SCOREアップ,コンボ19を達成するごとに47%の確率でスコアが780増える,コンボ19を達成するごとに47%の確率でスコアが1165増える
1231,1,あなたを見ていたい,桜内梨子,4954,4955,2263,2264,5,3,3440,4330,5180,クールPが7%UPする＋AqoursのメンバーはさらにクールPが1%UPする,9,体力回復,リズムアイコン29個ごとに73%の確率で体力が6回復する,リズムアイコン29個ごとに73%の確率で体力が15回復する
